"metadata.Unknown tag (0x4d533030)",52
"metadata.Unknown tag (0xa50a)",1
"metadata.Unknown tag (0xc128)",33986
"metadata.Unknown tag (0x0026)",36283
"metadata.Exif SubIFD:Unknown tag (0xa42f)",24
"metadata.Dust Removal Data",14788
"metadata.Related Image Height",6715
"metadata.Unknown tag (0xa034)",1
"metadata.Unknown tag (0xd26c)",3
"metadata.Filter",888
"metadata.Unknown tag (0xc3c3)",1
"metadata.Unknown tag (0xc430)",4
"metadata.Unknown tag (0x0330)",27
"metadata.Unknown tag (0x4d533031)",1
"metadata.Unknown tag (0xa50b)",1
"metadata.Panasonic Image Height",1041
"metadata.Exif SubIFD:Flash",411152
"metadata.Auto Bracketing",3379
"metadata.Unknown tag (0x4950)",4
"metadata.Release Date",334
"metadata.Unknown tag (0xa035)",1
"metadata.Exif IFD0:Unknown tag (0xf000)",1
"language.language",78425734
"metadata.Unknown tag (0xd26b)",3
"metadata.Exif IFD0:Unknown tag (0xc7a1)",5
"metadata.Exif IFD0:Shutter Speed Value",33
"metadata.Unknown tag (0xc3c2)",1
"metadata.Unknown tag (0x205e)",367
"metadata.Interoperability:Exposure Mode",12
"metadata.DRAWN_BY",7
"metadata.Unknown tag (0x0027)",53996
"metadata.Exif Image:New Subfile Type",109
"metadata.Unknown tag (0x02c1)",4
"metadata.Exif SubIFD:Unknown tag (0xf209)",24
"metadata.Unknown tag (0x0020)",32771
"metadata.Unknown tag (0x4208)",106
"metadata.Unknown tag (0x2114)",30
"metadata.Color Matrix Number",14
"metadata.Unknown tag (0x0153)",86
"metadata.GPS:Resolution Unit",8
"metadata.Unknown tag (0x0286)",4
"metadata.Unknown tag (0x4d533032)",1
"metadata.Unknown tag (0xc304)",1
"metadata.Exif SubIFD:Custom Rendered",217687
"metadata.Crop Top",504
"metadata.Unknown tag (0xc3c9)",1
"metadata.Unknown tag (0xc1db)",1
"metadata.Exif IFD0:Unknown tag (0xc6f8)",88
"metadata.Vignetting Correction Array 1",14285
"metadata.Vignetting Correction Array 2",13908
"metadata.Unknown tag (0x20a5)",198
